target_x_pos,target_y_pos,target_x_size,target_y_size,distractor_x_pos,distractor_y_pos,distractor_x_size,distractor_y_size,target_LR,correct_LR,trial_name
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,L,T_L_C_L_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,R,T_L_C_R_80_PERCENT
-0.39,0,0.25,0.25,0.39,0,0.25,0.25,L,R,T_L_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,R,T_R_C_R_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,L,T_R_C_L_80_PERCENT
0.39,0,0.25,0.25,-0.39,0,0.25,0.25,R,L,T_R_C_L_80_PERCENT
